displayLabel,fileExtension,folder,formattedLastModifiedTime,formattedSize,justFileName,link,mimeType,name,size
BILLSTATUS-114hr434.xml,xml,False,19-Aug-2019 03:15,10.2 kB,BILLSTATUS-114hr434.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr434.xml,application/xml,BILLSTATUS-114hr434.xml,10464
BILLSTATUS-114hr457.xml,xml,False,19-Aug-2019 03:15,9.4 kB,BILLSTATUS-114hr457.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr457.xml,application/xml,BILLSTATUS-114hr457.xml,9601
BILLSTATUS-114hr436.xml,xml,False,19-Aug-2019 02:55,14.9 kB,BILLSTATUS-114hr436.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr436.xml,application/xml,BILLSTATUS-114hr436.xml,15264
BILLSTATUS-114hr509.xml,xml,False,19-Aug-2019 02:55,42.5 kB,BILLSTATUS-114hr509.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr509.xml,application/xml,BILLSTATUS-114hr509.xml,43488
BILLSTATUS-114hr4202.xml,xml,False,19-Aug-2019 03:02,22.3 kB,BILLSTATUS-114hr4202.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr4202.xml,application/xml,BILLSTATUS-114hr4202.xml,22832
BILLSTATUS-114hr595.xml,xml,False,19-Aug-2019 03:01,54.1 kB,BILLSTATUS-114hr595.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr595.xml,application/xml,BILLSTATUS-114hr595.xml,55439
BILLSTATUS-114hr463.xml,xml,False,19-Aug-2019 03:01,28.3 kB,BILLSTATUS-114hr463.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr463.xml,application/xml,BILLSTATUS-114hr463.xml,29022
BILLSTATUS-114hr6440.xml,xml,False,19-Aug-2019 03:43,8.9 kB,BILLSTATUS-114hr6440.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr6440.xml,application/xml,BILLSTATUS-114hr6440.xml,9088
BILLSTATUS-114hr591.xml,xml,False,19-Aug-2019 02:57,12.5 kB,BILLSTATUS-114hr591.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr591.xml,application/xml,BILLSTATUS-114hr591.xml,12797
BILLSTATUS-114hr559.xml,xml,False,19-Aug-2019 03:01,13.6 kB,BILLSTATUS-114hr559.xml,http://www.govinfo.gov/bulkdata/BILLSTATUS/114/hr/BILLSTATUS-114hr559.xml,application/xml,BILLSTATUS-114hr559.xml,13949
